Class,PersonName,PersonNumber,Address,ItemTypes,ItemParams,LoanTerm
GosPerson,Иван,123456, ,Fur,"Шуба,500,10,15",30
Person,Мария,789012,ул. Лесная 12,Appliance,"Холодильник,4,15000",45
Person,Алексей,234567,ул. Светлая 34,Gold;Appliance,"Цепочка,15,700;Телевизор,3,30000",30
Person,Елена,345678,ул. Полевая 56,Fur,"Куртка,350,8,40",15
GosPerson,Виктор,456789, ,Gold,"Браслет,10,450",45
Person,Анна,567890,ул. Речная 89,Appliance;Fur,"Стиральная машина,6,20000;Шуба,3000,7,10",30
GosPerson,Игорь,678901, ,Appliance,"Микроволновая печь,2,8000",15
Person,Светлана,789012,ул. Озерная 21,Gold;Fur,"Серьги,5,400;Меховой воротник,400,3,5",30
GosPerson,Андрей,890123, ,Appliance;Gold,"Ноутбук,1,70000;Кольцо,8,360",60
Person,Татьяна,123890,ул. Ясная 75,Appliance,"Ноутбук,2,80000",45
Person,Сергей,234901,ул. Горная 7,Fur,"Куртка,5000,10,10",30
