Class,PersonName,PersonNumber,Address,ItemTypes,ItemParams,LoanTerm
Person,Дмитрий,567123,ул. Лесная 12,Gold;Appliance,"Цепочка,25,800;Смартфон,1,50000",30
Person,Ольга,678345,ул. Озерная 21,Fur;Appliance,"Шапка,300,3,5;Пылесос,2,25000",45
Person,Кирилл,789567,ул. Полевая 56,Gold;Gold,"Кольцо,18,750;Серьги,8,850",30
Person,Мария,890678,ул. Светлая 34,Fur,"Дубленка,4500,20,15",15
Person,Александр,901789,ул. Горная 7,Appliance;Gold,"Стиральная машина,5,35000;Часы,12,950",60
Person,Татьяна,123890,ул. Ясная 75,Appliance,"Ноутбук,2,80000",45
Person,Сергей,234901,ул. Лесная 12,Fur,"Куртка,5000,10,10",30
Person,Екатерина,345012,ул. Озерная 21,Gold;Appliance,"Браслет,15,900;Стиральная машина,3,70000",60
Person,Иван,456123,ул. Полевая 56,Fur;Gold,"Шапка,350,5,8;Кулон,10,700",30
Person,Алина,567234,ул. Светлая 34,Appliance,"Телевизор,4,60000",45
Person,Анна,123456,ул. Горная 7,Gold;Appliance,"Серьги,10,750;Холодильник,5,60000",45
Person,Олег,234567,ул. Ясная 75,Fur,"Шуба,4000,8,12",30
Person,Елизавета,345678,ул. Лесная 12,Gold;Appliance,"Кольцо,5,900;Смартфон,2,40000",60
Person,Николай,456789,ул. Озерная 21,Fur,"Пальто,3500,10,15",15
Person,Валентина,567890,ул. Полевая 56,Appliance;Gold,"Стиральная машина,3,50000;Цепочка,12,850",45
Person,Григорий,678901,ул. Светлая 34,Fur;Appliance,"Куртка,6000,15,20;Ноутбук,4,80000",60
Person,София,789012,ул. Горная 7,Gold,"Кулон,6,700",30
Person,Владимир,890123,ул. Ясная 75,Fur;Gold,"Шапка,400,7,8;Серьги,8,750",60
Person,Кристина,901234,ул. Лесная 12,Appliance,"Телевизор,6,45000",45
Person,Михаил,123345,ул. Озерная 21,Appliance;Gold,"Микроволновка,2,15000;Часы,15,950",30
Person,Наталья,112345,ул. Полевая 56,Fur;Gold,"Шуба,5000,15,10;Браслет,10,750",30
Person,Даниил,223456,ул. Светлая 34,Appliance,"Смартфон,2,60000",15
Person,Александра,334567,ул. Горная 7,Gold;Appliance,"Кольцо,12,850;Телевизор,4,75000",60
Person,Георгий,445678,ул. Ясная 75,Fur,"Шапка,250,4,5",15
Person,Марина,556789,ул. Лесная 12,Appliance;Gold,"Пылесос,3,20000;Цепочка,18,800",45
Person,Константин,667890,ул. Озерная 21,Appliance;Gold,"Ноутбук,2,90000;Кулон,5,700",60
Person,Полина,778901,ул. Полевая 56,Gold,"Серьги,15,750",30
Person,Виталий,889012,ул. Светлая 34,Fur;Appliance,"Куртка,5000,20,15;Смартфон,1,45000",45
Person,Алена,990123,ул. Горная 7,Appliance,"Холодильник,6,80000",60
GosPerson,Игорь,101234,,Gold;Appliance,"Часы,20,950;Микроволновка,3,10000",30
GosPerson,Светлана,111234,,Gold;Appliance,"Цепочка,18,750;Смартфон,1,40000",45
GosPerson,Никита,222345,,Fur,"Шапка,200,5,8",15
GosPerson,Зоя,333456,,Appliance;Gold,"Стиральная машина,3,60000;Серьги,10,850",60
GosPerson,Валерий,444567,,Fur,"Дубленка,4000,12,10",30
GosPerson,Олеся,555678,,Gold;Appliance,"Кулон,8,700;Телевизор,2,55000",45
GosPerson,Виктория,666789,,Fur,"Шуба,5000,14,8",60
GosPerson,Алексей,777890,,Appliance,"Ноутбук,4,75000",30
GosPerson,Екатерина,888901,,Gold,"Браслет,15,800",15
GosPerson,Максим,999012,,Appliance,"Микроволновая печь,3,18000",45
GosPerson,Елена,101123,,Gold;Appliance,"Часы,20,950;Смартфон,1,60000",30
GosPerson,Иванна,234567,,Gold;Appliance,"Кольцо,10,850;Микроволновка,2,12000",30
GosPerson,Павел,345678,,Fur,"Шуба,5500,18,8",45
GosPerson,Маргарита,456789,,Gold,"Цепочка,20,900",60
GosPerson,Игорь,567890,,Fur;Appliance,"Шапка,300,6,12;Смартфон,3,40000",30
GosPerson,Елена,678901,,Appliance,"Холодильник,5,50000",45
GosPerson,Виктор,789012,,Gold;Fur,"Браслет,8,700;Шуба,4500,20,15",60
GosPerson,Анна,890123,,Gold,"Серьги,12,800",15
GosPerson,Роман,901234,,Appliance,"Ноутбук,2,75000",30
GosPerson,Юлия,112345,,Appliance;Gold,"Стиральная машина,6,30000;Часы,20,950",45
GosPerson,Дмитрий,223456,,Fur,"Шапка,400,7,5",60
GosPerson,Евгений,345623,,Fur;Gold,"Дубленка,3000,12,10;Цепочка,15,750",30
GosPerson,Александра,234821,,Appliance,"Телевизор,3,45000",45
GosPerson,Сергей,456832,,Gold;Fur,"Браслет,10,900;Шапка,400,6,15",15
GosPerson,Маргарита,890234,,Appliance;Gold,"Микроволновка,2,12000;Кольцо,8,850",45
GosPerson,Дмитрий,567823,,Fur,"Шуба,4000,18,5",30
GosPerson,Анна,234690,,Gold,"Серьги,12,700",15
GosPerson,Кирилл,890753,,Appliance;Gold,"Ноутбук,4,90000;Цепочка,20,750",60
GosPerson,Олег,789634,,Appliance,"Смартфон,2,35000",30
GosPerson,Елизавета,678542,,Fur;Appliance,"Шапка,300,10,8;Телевизор,5,55000",45
GosPerson,Иван,567821,,Gold,"Кулон,7,850",30
